Math Grade,Physics Grade,Biology Grade,Chemistry Grade,English Grade,History Grade,Economy Grade,Geography Grade,is_sucess,Suggestion Based on Top 4 grades,Suggestion Based on Mean
60,75,51,90,80,64,46,98,1,Organic Chemistry,Historical Instrumentation and Experimental Replication
44,93,96,53,71,43,65,61,1,Biophysics,International Development
58,73,74,50,89,79,83,49,1,Copywriting,Journalism and Media
78,80,53,42,93,69,97,67,1,Public Relations,Quantitative Analyst
42,85,63,69,56,100,77,45,1,Journalism and Media,Evolution of Chemical Education
59,80,55,42,64,73,51,67,1,Science Journalism,Medical Physics
93,49,50,66,96,88,89,49,1,Signal Processing Engineers,Chemical Engineering
43,95,55,46,50,78,90,74,1,Econophysics,International Economics
65,86,73,63,78,69,56,70,1,Physics Education,Tourism and Hospitality
63,60,93,54,73,72,93,57,1,Economics of Biomedical Research and Development,Public Relations
40,77,75,90,74,65,85,100,1,International Economics,Climate Science
51,46,69,79,70,59,88,93,1,International Economics,Economics of Biomedical Research and Development
40,73,55,43,41,76,67,50,0,Fail,Fail
52,72,85,95,85,79,98,72,1,Microbiology,History of Chemical Discoveries
63,78,73,53,49,98,86,93,1,Business and Economic Journalism,Biophysics
51,83,92,96,77,100,88,61,1,Biotechnology,Biochemistry
67,63,74,41,77,60,76,95,1,Tourism and Hospitality,Creative Writing
66,48,52,80,53,75,53,95,1,Emergency management and Disaster,Mathematics
53,67,93,43,46,82,55,59,1,Historical Preservation and Cultural Heritage,Historical Instrumentation and Experimental Replication
86,65,91,77,51,76,83,49,1,Bioinformatics,Ecology
71,78,61,86,52,42,56,99,1,Tourism and Hospitality,Biochemistry
54,82,72,69,86,79,91,91,1,Tourism and Hospitality,Business and Economic Journalism
76,76,75,43,50,46,96,98,1,Environmental Economics,Content Management
69,71,85,77,86,93,84,99,1,Sustainable Economics in Biology Conservation,Chemical Supply Chain Management
48,50,91,80,45,99,86,52,1,Journalism and Media,Medical History
95,84,89,57,78,80,64,58,1,Physics Education,Experimental Physics
56,99,40,66,69,71,95,74,1,Energy Economics,Archivist
88,79,43,85,59,95,83,40,1,Economic History Research,Science Education and Outreach
58,40,56,61,99,53,89,69,1,Global Financial Markets,Conservation of Biodiversity Hotspots
63,65,96,71,93,97,96,55,1,Economics of Biomedical Research and Development,Financial Services
43,73,96,58,48,73,77,55,1,Biotechnology,Economic History
83,73,93,48,86,91,58,64,1,Medicine,Technical Writing
45,98,51,41,59,42,60,76,0,Fail,Fail
54,47,53,88,84,81,80,69,1,Archivist,Spatial Dynamics of Chemical Reactions
40,93,50,70,50,85,64,78,1,Science Journalism,Global Financial Markets
57,59,99,46,68,91,54,56,1,Ecology,Medicine
47,53,88,91,98,85,86,84,1,Landscape Ecology and Biotic Interactions,Pharmacology
42,61,51,61,54,87,74,51,1,Government and Public Services,Economics of Biomedical Research and Development
89,40,51,99,99,91,65,57,1,Chemistry and Scientific Revolution,Inorganic Chemistry
74,59,92,56,45,67,70,55,1,Medicine,Epidemiology
87,91,97,89,56,68,49,67,1,Microbiology,Geography of Chemical Waste Management
59,63,85,40,94,95,69,88,1,Tourism and Hospitality,Technical Writing
55,81,46,60,89,41,74,70,1,Journalism,Physics Journalism
86,53,89,50,42,45,80,63,1,Medicine,Landscape Ecology and Biotic Interactions
81,62,70,92,98,73,57,65,1,Chemistry Education and Curriculum Development,Science Communication
66,48,65,78,97,56,67,98,1,Content Creation,Academic Research
63,57,87,59,55,51,91,55,1,International Economics,Biotechnology and Economic Development
94,60,95,48,95,43,85,84,1,Transportation and Logistics,Geographic Information Systems
100,52,59,73,45,66,44,74,1,Data Analysis,Landscape Ecology and Biotic Interactions
71,96,61,71,55,89,63,86,1,GeoPhysics,Computational Chemistry
56,88,100,74,73,53,81,87,1,Plantery Science,International Development
73,79,84,78,65,60,43,88,1,Microbiology,Geographical Perspectives on Ecosystem Services
45,41,83,80,75,57,59,51,1,Biotechnology,English Language Skills for Economic Forecasting
80,40,55,47,69,45,94,62,1,Microeconomics,Molecular Biology
55,66,87,69,41,77,66,52,1,Medicine,Climate Science
69,41,80,42,55,47,83,55,0,Fail,Fail
43,67,57,61,88,43,94,42,1,Global Financial Markets,Data Analysis
65,50,73,50,48,67,63,93,1,Transportation and Logistics,Climate Science
67,83,79,72,86,65,71,67,1,Research in Science and Technology Communication,Experimental Physics
54,59,90,55,72,94,53,63,1,Environmental History,Content Management
75,96,48,94,57,56,72,84,1,Organic Chemistry,Business and Economic Journalism
73,73,45,74,44,89,66,68,1,Government and Public Services,Organic Chemistry
52,47,86,89,69,96,50,46,1,Biochemistry,Science Communication and Writing
81,95,65,66,87,90,50,56,1,Astrophysics,Anatomy
46,59,52,88,44,72,54,43,0,Fail,Fail
72,56,73,92,97,68,86,83,1,Organic Chemistry,Technical Writing
64,88,42,65,97,58,54,43,1,Journalism,International Economics
51,40,55,81,90,100,54,48,1,Historical Preservation and Cultural Heritage,Global Financial Markets
78,88,97,58,98,44,47,84,1,Theortical Physics,BioMechanics
66,44,97,76,50,85,46,90,1,Museum Curator,Chemistry Education and Curriculum Development
82,78,72,50,82,55,78,78,1,Publishing,Bioinformatics
88,95,52,76,72,44,49,93,1,Operation Resarch,Math Journalism
46,84,44,41,53,99,97,74,1,Economic Policy,Operation Resarch
86,95,56,42,47,58,76,44,1,Mathematical Physics,Technical Writing
97,55,40,88,71,86,80,56,1,Analytical Chemistry,Math Journalism
78,62,58,51,68,75,80,100,1,Transportation and Logistics,Environmental Economics
73,90,66,68,55,65,60,51,1,Astrophysics,Math Journalism
41,95,43,57,80,47,95,88,1,Economic Policy,English Language Skills for Economic Forecasting
74,50,75,71,52,85,67,99,1,Archivist,Evolution of Chemical Education
79,52,66,59,67,95,88,68,1,Econometrics,Translation
40,51,51,55,67,75,85,79,1,International Economics,Digital Marketing
88,49,58,81,40,74,53,59,1,Medicinal Chemistry,Chemical Engineering
42,77,61,60,72,87,95,73,1,International Economics,Chemistry Journalism
55,66,85,80,88,84,51,73,1,Biotechnology,Academic Research
70,53,77,95,94,100,88,71,1,Chemistry Education and Curriculum Development,Bioinformatics
92,78,60,64,55,55,71,68,1,Computer Science,Chemical Engineering
67,52,99,42,86,54,69,59,1,Anatomy,Global Financial Markets
72,61,61,49,77,77,97,58,1,Econometrics,Archaeology
68,40,73,68,46,97,52,61,1,Journalism and Media,Molecular Biology
51,49,92,47,80,56,91,66,1,Macroeconomics,Quantum Mechanics
63,55,82,57,84,41,60,42,1,Technical Writing,Operation Resarch
98,63,76,55,85,49,66,50,1,Technical Writing,Data Reporting
93,74,88,48,88,60,75,77,1,Biotechnology,Surveying and Geomatics
83,65,54,46,79,43,57,70,1,Signal Processing Engineers,Microbiology
83,76,82,87,59,84,94,61,1,Financial Services,Biochemistry
71,52,77,41,57,88,61,93,1,Cultural Heritage Management and Preservation,Publishing and Editing in Physics
89,75,78,87,60,79,90,42,1,Microeconomics,Chemical Engineering
53,59,47,92,71,46,65,72,1,Organic Chemistry,Sustainable Chemistry and Economic Development
44,52,68,47,78,75,46,52,0,Fail,Fail
93,95,93,47,45,80,97,88,1,Experimental Physics,Economic History
86,74,52,90,67,56,65,84,1,Medicinal Chemistry,Theortical Physics
79,98,65,91,45,53,86,89,1,International Development,Economic Policies in the Chemical Sector
47,48,100,63,41,92,74,59,1,History of Science,Energy Economics
88,90,74,65,75,48,52,89,1,Experimental Physics,Climate Science
58,71,57,69,49,75,52,82,1,Tourism and Hospitality,Spatial Dynamics of Chemical Reactions
84,58,59,41,83,75,73,52,1,Data Reporting,Historical Fiction Writing
73,98,47,47,93,86,71,63,1,Astrophysics,Archivist
65,54,90,48,90,54,87,90,1,Macroeconomics,Global Financial Markets
42,89,45,94,99,96,42,91,1,History of Chemical Discoveries,Academic Research
64,63,46,89,60,62,67,89,1,Spatial Dynamics of Chemical Reactions,Emergency management and Disaster
43,68,41,92,54,44,47,95,1,Spatial Dynamics of Chemical Reactions,Journalism
96,82,71,62,67,87,57,61,1,Quantum Mechanics,Education
97,45,62,44,95,79,70,84,1,Surveying and Geomatics,Content Creation
69,89,75,50,76,61,85,89,1,Plantery Science,Science Editing
84,44,73,95,43,54,78,57,1,Operation Resarch,Computational Biology
43,93,77,78,97,57,92,92,1,Economic Policy,Geographical Perspectives on Ecosystem Services
57,41,81,65,82,49,72,85,1,Academic Research,Organic Chemistry
82,60,100,91,52,94,69,88,1,Museum Curator,Biostatistics
47,54,100,57,100,65,51,74,1,Anatomy,Research in Science and Technology Communication
92,56,74,52,44,88,41,48,1,Statistical Demography,Physics Education
56,92,50,46,63,65,84,98,1,Plantery Science,Theortical Physics
48,62,80,100,57,76,62,60,1,Inorganic Chemistry,Historical Preservation and Cultural Heritage
86,90,40,93,55,57,55,67,1,Mathematical Modeling,Technical Writing in Physics
59,83,67,47,88,86,68,42,1,Museum Curator,Energy Economics
49,70,55,48,86,62,82,89,1,International Development,Econometrics
45,40,53,43,100,56,76,71,1,Education,Econophysics
88,46,76,53,46,79,56,64,1,Operation Resarch,Analytical Chemistry
48,83,99,54,62,91,53,51,1,Ecology,Biophysics
90,55,41,51,87,89,57,54,1,Actuarial Science,Physics Education
91,70,47,45,48,92,43,56,1,Journalism and Media,History of Chemical Discoveries
89,95,52,70,70,60,53,53,1,Mathematics,Medicinal Chemistry
100,61,92,66,77,94,90,64,1,Bioinformatics,Publishing
46,72,88,70,42,52,55,48,0,Fail,Fail
58,70,54,62,52,42,63,79,1,Geography of Chemical Waste Management,Data Reporting
68,81,56,98,65,46,75,85,1,Lab Assistant,Technical Writing in Physics
76,95,44,95,77,50,99,53,1,Experimental Physics,Mathematical Physics
80,82,79,92,58,48,60,53,1,Theortical Physics,Anatomy
87,93,60,100,90,82,87,51,1,Physics Education,Inorganic Chemistry
60,89,97,62,97,62,86,72,1,Medicine,Global Financial Markets
100,62,77,90,85,97,63,45,1,Statistical Demography,Biochemistry
71,85,61,80,55,89,76,91,1,Historical Geography,Geography of Chemical Waste Management
76,96,65,52,73,73,64,88,1,Tourism and Hospitality,Medicine
44,90,83,60,78,77,100,69,1,Anatomy,Journalism and Media
61,88,62,67,96,73,67,72,1,Technical Writing,Communications
86,56,93,49,46,42,73,64,1,Data Scientist,Academic Research
64,99,50,42,87,42,62,58,1,Research in Science and Technology Communication,Epidemiology
100,67,71,82,54,50,87,72,1,Chemistry and Resource Economics,Climate Science
77,92,93,47,61,60,72,56,1,Physics Education,Quantum Mechanics
68,81,94,97,89,78,48,70,1,Atmospheric Chemistry,Technical Writing in Physics
93,82,58,65,57,49,56,100,1,Computer Science,Education
86,96,66,64,95,45,76,73,1,Data Analysis,Microeconomics
44,40,49,68,61,46,69,82,0,Fail,Fail
88,99,75,91,87,60,71,88,1,Physics Content Creation,Macroeconomics
87,71,89,81,79,46,53,79,1,Mathematical Biology,Geospatial Techoology
74,95,54,79,90,75,41,71,1,Communications,Metorology
68,63,67,49,83,80,50,64,1,Publishing,Communications
89,50,91,100,50,71,89,86,1,Molecular Biology,Spatial Dynamics of Chemical Reactions
73,98,88,49,68,56,57,88,1,Physiology,Medical Physics
72,49,84,85,43,73,80,87,1,Microbiology,Chemical Supply Chain Management
46,100,78,53,65,80,66,71,1,Physics Education,Conservation of Biodiversity Hotspots
57,64,58,55,86,57,42,77,1,Copywriting,Research in Science and Technology Communication
56,73,52,51,89,61,97,52,1,Publishing,Statistical Demography
72,79,70,58,91,77,88,53,1,English Language Skills for Economic Forecasting,Math Journalism
69,91,53,64,80,43,46,73,1,Theortical Physics,Math Journalism
99,50,41,58,94,41,83,83,1,Communications,Publishing and Editing in Physics
53,85,70,41,93,73,51,94,1,Experimental Physics,Museum Curator
76,75,63,74,76,56,66,58,1,Economic Policy,Geochemistry
55,78,44,85,69,76,65,76,1,Education,Atmospheric Chemistry
59,62,56,70,69,59,68,49,1,Econophysics,Macroeconomics
43,81,43,86,74,97,41,57,1,Museum Curator,Physics Education
69,46,59,49,63,58,93,42,0,Fail,Fail
78,53,79,56,78,90,100,49,1,Historical Preservation and Cultural Heritage,Ecology
63,42,55,53,80,44,92,43,0,Fail,Fail
69,44,49,90,61,97,91,45,1,Economic Policy,Economics of Biomedical Research and Development
56,88,73,82,87,92,78,87,1,Education,Geochemistry
69,96,96,71,46,76,68,87,1,Geographical Perspectives on Ecosystem Services,Science Journalism
54,95,64,71,60,82,57,79,1,Historical Preservation and Cultural Heritage,Historical Geography
60,74,41,63,78,53,100,48,1,Econometrics,Quantitative Historical Analysis
79,64,67,83,46,43,46,60,1,Lab Assistant,Conservation of Biodiversity Hotspots
69,65,63,63,43,62,65,46,0,Fail,Fail
59,84,84,41,51,45,48,51,0,Fail,Fail
57,92,78,47,84,57,68,73,1,Public Relations,Bioarchaeology
82,42,53,40,86,79,64,66,1,Data Analysis,Surveying and Geomatics
44,99,43,90,80,64,92,44,1,Theortical Physics,Science Writing
65,71,88,58,47,80,69,79,1,Biotechnology,Archivist
63,68,81,57,77,49,93,82,1,Economic Policy,Global Financial Markets
65,74,41,99,95,89,60,48,1,Public Relations,Business and Economic Journalism
65,85,63,64,42,78,87,100,1,Environmental Economics,Energy Economics
86,75,80,100,48,89,93,40,1,Mathematics,Biomedical Engineering
83,57,72,63,93,69,55,52,1,Publishing,Biostatistics
92,92,51,91,45,60,57,68,1,Organic Chemistry,Geographic Information Systems
48,88,42,55,65,74,88,82,1,Plantery Science,International Economics
71,40,77,90,84,52,61,41,1,Chemistry Education and Curriculum Development,English Language Skills for Economic Forecasting
73,53,79,82,74,67,89,53,1,Economics of Chemical Manufacturing,Historical Preservation and Cultural Heritage
67,75,89,87,55,70,41,45,1,Microbiology,Chemistry and Scientific Revolution
51,60,46,82,87,81,69,94,1,Inorganic Chemistry,Geography of Chemical Waste Management
91,74,91,84,89,41,43,74,1,Operation Resarch,Content Management
48,58,85,97,85,44,44,78,1,Creative Writing,Mathematical Modeling
97,47,78,61,40,94,84,73,1,Quantitative Analyst,Cartography
65,61,97,45,90,46,40,69,1,Medicine,History of Science
84,71,49,98,60,76,52,52,1,Quantum Chemistry,Cost-benefit Analysis in Chemical Projects
98,72,43,72,73,87,60,47,1,Economic History Research,Financial Sector Regulatoins
76,62,44,51,54,51,43,73,0,Fail,Fail
66,94,77,83,79,82,48,48,1,History of Chemical Discoveries,Chemical Engineering
99,41,41,95,74,91,52,61,1,Organic Chemistry,Economics of Chemical Manufacturing
49,88,82,47,89,41,52,46,1,Content Creation,Creative Writing
59,61,46,79,70,66,41,95,1,Tourism and Hospitality,Transportation and Logistics
52,74,62,49,66,82,92,93,1,Econometrics,Emergency management and Disaster
59,89,59,87,40,53,47,86,1,Plantery Science,Quantitative Historical Analysis
90,77,68,79,61,87,98,59,1,Quantitative Historical Analysis,Lab Assistant
84,100,96,63,70,84,100,91,1,History of Physics,Mathematical Archaeology
46,84,66,70,83,90,67,64,1,Science Education and Outreach,Philosophy of Physics
100,63,43,97,99,77,71,65,1,Data Analysis,Public Relations
83,79,94,49,49,82,79,44,1,Mathematics,Biostatistics
85,58,77,81,47,53,96,92,1,Tourism and Hospitality,Medical Physics
57,61,95,99,42,61,90,64,1,Biochemistry,Evolution of Chemical Education
81,66,44,54,66,80,89,48,1,Financial Services,Digital Humanities
74,68,80,69,77,66,60,93,1,Transportation and Logistics,Emergency management and Disaster
100,59,51,45,86,95,69,83,1,Metorology,Curriculum Development
68,92,65,67,47,92,40,65,1,Philosophy of Physics,Biochemistry
78,66,75,84,61,87,83,65,1,History of Chemical Discoveries,Financial Sector Regulatoins
90,44,61,74,80,48,78,48,1,Signal Processing Engineers,Math Journalism
68,62,58,88,93,41,91,65,1,Global Financial Markets,Econophysics
79,79,48,74,56,77,70,44,1,Econophysics,Math Journalism
94,95,93,79,87,62,79,64,1,Mathematical Physics,Sustainable Economics in Biology Conservation
97,66,49,65,99,95,98,86,1,Surveying and Geomatics,Data Reporting
41,72,60,99,59,69,66,62,1,Lab Assistant,Scientific Writing in Chemistry
81,73,95,51,49,55,46,79,1,Medicine,Biotechnology
66,89,100,94,99,60,63,71,1,Physics Content Creation,Landscape Ecology and Biotic Interactions
46,66,100,52,70,59,81,70,1,Ecology,Molecular Biology
72,78,41,53,55,72,48,62,1,Quantitative Historical Analysis,Journalism and Media
57,77,67,99,71,82,78,72,1,Inorganic Chemistry,Chemistry Journalism
97,62,77,74,45,95,87,66,1,Economic History,Chemistry and Resource Economics
44,47,69,48,93,89,63,98,1,Transportation and Logistics,Microbiology
57,87,80,76,66,41,57,55,1,Astrophysics,Environmental Economics
74,57,46,41,98,90,53,82,1,Cultural Heritage Preservation,History of Physics
51,75,88,92,96,61,45,84,1,Geography of Chemical Waste Management,Medicine
73,62,73,55,50,80,53,81,1,Transportation and Logistics,Chemical Engineering
67,52,84,77,76,46,56,70,1,Anatomy,Chemical Supply Chain Management
97,43,83,41,57,91,69,65,1,Mathematical Biology,Data Analysis
52,97,54,77,95,72,93,61,1,Econophysics,Climate Science
74,59,49,77,88,94,57,67,1,Historical Journalism,Spatial Dynamics of Chemical Reactions
66,46,63,76,95,76,63,66,1,Journalism,Global Financial Markets
81,89,70,100,64,93,57,97,1,Lab Assistant,Economic History Research
83,69,79,53,52,73,46,49,1,Signal Processing Engineers,Environmental History
71,44,73,69,87,72,53,70,1,Journalism,Historical Anthropology
65,45,66,82,99,65,85,71,1,Lab Assistant,Biotechnology
87,58,60,93,70,78,97,53,1,Analytical Chemistry,Bioarchaeology
42,94,64,66,72,61,70,91,1,GeoPhysics,Chemistry Education and Curriculum Development
71,76,86,72,51,49,42,44,1,Anatomy,Analytical Chemistry
93,80,56,56,57,95,56,75,1,Historical Preservation and Cultural Heritage,English Language Skills for Economic Forecasting
99,51,60,49,88,55,79,77,1,Copywriting,Tourism and Hospitality
46,65,85,91,46,40,81,86,1,Public Finance,Environmental Economics
70,60,56,42,47,54,68,49,0,Fail,Fail
71,83,45,55,64,68,90,92,1,Urban Planing and Regional Development,Business and Economic Journalism
55,93,70,45,69,91,62,45,1,Archivist,Mathematical Biology
43,71,63,67,99,52,56,63,1,Journalism,Plantery Science
45,46,73,53,63,46,78,96,1,Emergency management and Disaster,Microeconomics
60,62,71,99,62,53,40,61,1,Lab Assistant,Spatial Dynamics of Chemical Reactions
79,79,61,44,81,46,68,85,1,Cultural Heritage Preservation,Plantery Science
64,46,94,74,42,87,64,68,1,Journalism and Media,Urban Planing and Regional Development
52,76,73,99,51,92,83,44,1,Archivist,Molecular Biology
76,45,52,89,80,95,72,85,1,Emergency management and Disaster,Urban Planing and Regional Development
82,80,40,94,67,66,62,100,1,Quantum Chemistry,Climate Science
93,70,95,72,53,65,71,67,1,Biotechnology,GeoPhysics
43,89,45,53,45,46,89,60,0,Fail,Fail
95,53,88,70,71,78,68,93,1,Signal Processing Engineers,Metorology
46,86,61,90,47,60,57,71,1,Science Journalism,Chemical Market Forecasting and Analysis
80,96,74,52,95,98,75,43,1,Historical Fiction Writing,Biostatistics
67,65,85,72,63,61,85,46,1,Macroeconomics,Physics Education
92,90,69,98,67,69,76,81,1,Computer Science,Climate Science
81,75,98,44,81,85,92,86,1,Economics,Environmental Economics
61,60,41,84,49,82,64,91,1,Historical Preservation and Cultural Heritage,Emergency management and Disaster
78,61,98,92,41,64,90,81,1,Tourism and Hospitality,Historical Analysis of Technological Advances
43,97,53,80,53,62,49,71,1,Science Journalism,Creative Writing
44,83,99,43,56,67,40,96,1,Tourism and Hospitality,Archival Studies
96,41,69,98,96,56,66,92,1,Geography of Chemical Waste Management,Bioarchaeology
47,48,98,96,49,100,96,90,1,Economic Policy,History of Science
68,65,62,78,49,78,80,44,1,Lab Assistant,Geochemistry
72,84,43,43,100,44,93,91,1,Writing and Editing,Tourism and Hospitality
51,49,57,83,56,97,71,58,1,Inorganic Chemistry,Technical Writing
94,89,99,96,55,57,70,63,1,Mathematics,Chemistry and Resource Economics
50,51,57,77,74,76,52,60,1,Journalism and Media,Radiology
92,79,85,43,61,52,64,52,1,Data Scientist,Mathematical Archaeology
43,96,47,54,57,94,98,85,1,Archivist,Evolution of Chemical Education
97,66,57,47,43,63,82,74,1,Risk Manager,Economic History Research
72,97,64,51,86,100,47,97,1,Historical Preservation and Cultural Heritage,Astrophysics
99,58,53,83,41,53,42,51,1,Chemical Engineering,Publishing and Editing in Physics
67,74,42,99,70,80,68,68,1,Lab Assistant,Economic Policies in the Chemical Sector
59,73,58,81,47,57,56,97,1,Geography of Chemical Waste Management,Environmental Economics
62,64,89,41,81,50,42,81,1,Environmental Jouralism,Landscape Ecology and Biotic Interactions
67,74,72,94,100,69,100,44,1,Lab Assistant,Economics of Biomedical Research and Development
84,40,65,44,46,59,72,98,1,Cartography,Transportation and Logistics
74,94,40,85,95,95,55,52,1,Analytical Chemistry,Data Reporting
53,87,51,74,67,99,81,68,1,Physics Education,Chemical Engineering
81,88,45,82,76,58,80,99,1,Spatial Dynamics of Chemical Reactions,Transportation and Logistics
81,68,46,41,84,81,63,53,1,Archival Studies,Data Reporting
84,48,49,54,83,79,64,79,1,Data Reporting,Environmental Economics
59,85,92,63,93,66,52,44,1,Publishing,Medicine
45,54,99,61,53,73,40,50,0,Fail,Fail
70,55,99,42,91,47,63,55,1,Creative Writing,Metorology
48,83,59,94,60,64,98,75,1,Lab Assistant,Biophysics
72,64,53,45,99,54,81,66,1,English Language Skills for Economic Forecasting,Copywriting
72,54,61,98,80,88,84,68,1,Government and Public Services,Geography of Chemical Waste Management
42,68,100,47,71,52,94,90,1,Transportation and Logistics,Microbiology
53,95,87,46,94,87,75,57,1,Science Education and Outreach,Education
49,52,58,84,61,50,98,41,1,Sustainable Chemistry and Economic Development,Economics of Biomedical Research and Development
78,80,83,98,96,90,63,69,1,Technical Writing,Environmental History
49,78,69,57,48,96,81,77,1,Government and Public Services,Environmental Economics
62,61,67,43,98,94,45,53,1,Digital Humanities,Quantum Mechanics
95,86,58,85,86,78,87,76,1,Quantum Mechanics,Chemical Engineering
57,84,78,77,98,80,94,58,1,English Language Skills for Economic Forecasting,Curriculum Development
79,62,41,66,88,89,84,86,1,Tourism and Hospitality,Academic Research
81,63,93,86,68,96,68,89,1,Anatomy,Pharmacology
56,62,94,77,89,43,99,63,1,Economics of Biomedical Research and Development,Cultural Heritage Preservation
91,98,45,98,44,70,69,49,1,Atmospheric Chemistry,Risk Manager
88,68,93,81,56,68,99,79,1,Economic Policies in the Chemical Sector,Risk Manager
71,41,88,58,90,97,75,63,1,Ecology,Computational Biology
95,43,86,40,44,43,44,77,0,Fail,Fail
55,40,72,93,64,46,55,85,1,Transportation and Logistics,Financial Services
44,56,77,77,92,53,95,83,1,Communications,GeoPhysics
48,96,66,58,82,92,100,91,1,Archival Studies,Journalism
98,85,100,60,42,79,93,58,1,Experimental Physics,Cartography
77,81,72,67,99,42,45,51,1,Astrophysics,Public Relations
64,43,83,48,86,52,92,77,1,Publishing,Risk Manager
47,61,56,99,57,58,76,94,1,Inorganic Chemistry,Physiology
40,73,61,55,48,49,55,95,0,Fail,Fail
100,45,63,84,69,94,44,95,1,Spatial Dynamics of Chemical Reactions,Molecular Biology
53,84,55,42,57,42,66,100,1,Experimental Physics,Communications
57,58,66,81,58,99,93,63,1,Historical Preservation and Cultural Heritage,Global Financial Markets
86,66,73,58,64,63,97,85,1,Economic Policy,International Economics
69,95,81,83,45,84,81,63,1,Chemistry and Scientific Revolution,International Economics
95,45,60,57,97,76,93,100,1,English Language Skills for Economic Forecasting,Data Analysis
79,87,78,59,66,75,43,67,1,Astrophysics,Radiology
86,93,81,53,74,49,81,100,1,Cartography,Surveying and Geomatics
81,52,89,42,68,84,96,58,1,Environmental History,Econophysics
62,81,70,83,81,76,59,51,1,Education,Mathematical Modeling
42,62,90,87,88,94,90,69,1,Pharmacology,Science Education and Outreach
